gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tapbp_80145,953.6398358,1.362929154,0.216880353,6.284244449,3.29E-10,1.39E-08
Rnf114_76576,294.1405522,1.158559901,0.18463646,6.274816483,3.50E-10,1.47E-08
Dusp16_66535,267.2382428,1.093449113,0.174474638,6.267094899,3.68E-10,1.55E-08
Xdh_31023,141.7664143,2.02767871,0.323562462,6.266730387,3.69E-10,1.55E-08
Sh3tc2_57743,429.7564359,-1.634980974,0.261165531,-6.2603245,3.84E-10,1.61E-08
Igf2bp2_31560,230.1059499,1.15473775,0.184564861,6.256541716,3.94E-10,1.64E-08
Tap1_71928,178.1285395,2.511151172,0.401647365,6.252129087,4.05E-10,1.69E-08
Ccl22_75367,21.87244252,3.550145991,0.568143111,6.248682639,4.14E-10,1.72E-08
Nfkb1_63710,126.2672774,1.23852506,0.198259157,6.247000542,4.18E-10,1.73E-08
Serpina3g_76439,228.667874,3.737645135,0.598500077,6.245020304,4.24E-10,1.75E-08
Inhba_76868,39.86934894,3.420429534,0.548214015,6.239223075,4.40E-10,1.81E-08
Gars_31586,375.7773631,1.06481876,0.170714666,6.237418181,4.45E-10,1.83E-08
Cxcr2_55551,75.39762307,3.470452088,0.55666236,6.2343933,4.54E-10,1.86E-08
Ccdc86_71114,68.83596326,1.568012904,0.251773736,6.227865249,4.73E-10,1.94E-08
Sh3pxd2b_59134,245.9326029,1.304465037,0.209613041,6.223205551,4.87E-10,1.99E-08
Slc3a2_82290,216.3374953,1.13845684,0.183273929,6.211777328,5.24E-10,2.13E-08
Csf2rb_62756,163.7871638,1.664168937,0.268005824,6.209450636,5.32E-10,2.16E-08
Il1rn_69366,23.23259598,5.021591769,0.808675856,6.209647207,5.31E-10,2.16E-08
Gucy1b1_61344,3956.135519,-1.232924968,0.198608608,-6.207812356,5.37E-10,2.17E-08
Mmp11_67667,62.8595936,-1.882909837,0.303316802,-6.207733387,5.38E-10,2.17E-08
Il4ra_65158,48.40229247,2.395544576,0.386200276,6.202855674,5.54E-10,2.23E-08
Upp1_29741,33.4621186,2.050753512,0.331070214,6.194315974,5.85E-10,2.35E-08
Sema4c_66717,55.34652064,1.619580674,0.261681894,6.189120106,6.05E-10,2.43E-08
Crb1_76218,39.11531341,-2.973572765,0.480770284,-6.185017806,6.21E-10,2.48E-08
Il1rn_75523,47.182089,4.081901613,0.66073642,6.17780629,6.50E-10,2.59E-08
Myc_66507,71.75029397,1.842141265,0.298222185,6.177076541,6.53E-10,2.59E-08
