gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Arhgap5_72704,436.3092979,-1.0169822,0.231031013,-4.401929356,1.07E-05,0.000813174
Rassf3_62192,2328.67912,-0.513076484,0.116552721,-4.402097849,1.07E-05,0.000813174
Mapk14_31848,1451.411084,-0.538990906,0.122616556,-4.395743322,1.10E-05,0.000833045
Snx6_79798,365.184867,-1.040687649,0.236858892,-4.393703107,1.11E-05,0.000837265
C1galt1_60779,714.7353913,-0.836891892,0.190702712,-4.388463503,1.14E-05,0.000853992
Atm_74999,81.47443236,-0.859988358,0.196109834,-4.385238313,1.16E-05,0.000863024
Tfdp2_75238,92.40205258,-1.385477611,0.31606908,-4.383464558,1.17E-05,0.000866366
Crebrf_80154,409.9691881,-1.039535176,0.237379157,-4.379218426,1.19E-05,0.000872401
Gm20716_79266,138.2633281,0.680268338,0.155341587,4.379177208,1.19E-05,0.000872401
Rps12-ps3_67858,324.8062508,0.718717206,0.164062032,4.380765003,1.18E-05,0.000872401
Caprin1_71748,882.0092375,-0.507783109,0.116018763,-4.376732646,1.20E-05,0.000874815
Mtmr2_64311,139.1757149,-1.004121898,0.229564903,-4.374021842,1.22E-05,0.000874815
Paox_76707,33.73284104,1.122315286,0.256583435,4.37407538,1.22E-05,0.000874815
Sort1_62170,1880.248597,-0.88868568,0.203097383,-4.375662875,1.21E-05,0.000874815
Zfp563_54907,174.9882224,-0.907101947,0.207236551,-4.377132999,1.20E-05,0.000874815
Tnks2_67404,859.7863687,-0.781733201,0.178810751,-4.37184674,1.23E-05,0.000879942
Cish_64362,60.61640654,1.140578447,0.261179515,4.367028739,1.26E-05,0.000892227
Stx11_67128,33.20774791,1.612113512,0.369148412,4.367114845,1.26E-05,0.000892227
Kcmf1_76298,486.8624492,0.443751742,0.101651458,4.365424259,1.27E-05,0.000895148
Cdk13_72442,89.00366861,-0.920001575,0.210845874,-4.363384295,1.28E-05,0.000899882
Stk40_77922,298.1028129,0.594177788,0.136432138,4.355116025,1.33E-05,0.000930761
Dagla_59700,73.86740099,-0.954143086,0.21918509,-4.353138642,1.34E-05,0.000935427
Man2b1_68627,963.3934254,-0.592447875,0.136126143,-4.352197607,1.35E-05,0.000935695
Mocs1_74449,84.73831848,0.809183982,0.186003269,4.350375054,1.36E-05,0.000939747
Cox4i1_67097,1961.828446,0.615146739,0.14145856,4.348600318,1.37E-05,0.000943623
Picalm_80276,170.1319923,-1.473097005,0.338879201,-4.346967885,1.38E-05,0.000946913
Myh10_78907,468.0198653,-1.016972316,0.234127452,-4.343669687,1.40E-05,0.00095371
Spry4_59867,84.48728613,1.112350852,0.256073907,4.343866445,1.40E-05,0.00095371
Kdm2a_78336,355.2039991,-0.563756214,0.129813994,-4.342800018,1.41E-05,0.000953754
Ufsp2_69257,226.4164142,-0.561475593,0.129330794,-4.341391379,1.42E-05,0.000956155
Edem3_57680,321.1967581,-0.855072032,0.197023369,-4.339952346,1.43E-05,0.000958708
Mmgt1_54844,863.291336,-0.799889947,0.184349144,-4.338994627,1.43E-05,0.000959177
Tnip1_64961,696.6353901,0.662328897,0.152850692,4.333175646,1.47E-05,0.000981106
Edc3_69882,195.1763519,0.582131143,0.134474702,4.328926815,1.50E-05,0.000996392
Ccdc186_58520,82.39217422,-1.471114717,0.340072682,-4.325883242,1.52E-05,0.001002569
Gm3776_29765,31.89678658,1.728918294,0.399651187,4.32606821,1.52E-05,0.001002569
Aplp2_62173,1919.11344,-0.51607368,0.119777876,-4.308589343,1.64E-05,0.00107573
Dcp1b_29958,28.56219225,-1.160642775,0.269387053,-4.308457893,1.64E-05,0.00107573
Ip6k1_67762,522.3860774,0.485787339,0.112768581,4.307825236,1.65E-05,0.00107573
Ccdc141_67923,759.7776541,-0.880265458,0.204555775,-4.303302899,1.68E-05,0.001093822
Clpp_57337,453.2628396,0.529092975,0.12312273,4.297281042,1.73E-05,0.001115597
Gm21985_72465,812.6700848,-0.525293386,0.122235578,-4.297385389,1.73E-05,0.001115597
Asph_69919,464.6535851,-0.483214392,0.112500341,-4.295226029,1.75E-05,0.001117672
Nckap1_57651,693.5310477,-1.043158015,0.24284403,-4.29558847,1.74E-05,0.001117672
Pls3_57065,2246.709331,-0.586090044,0.13658078,-4.291160457,1.78E-05,0.00113415
Arl6ip1_74639,641.4491997,-0.619934261,0.144642381,-4.285979385,1.82E-05,0.001143627
Chpf2_56605,61.15686777,1.007024656,0.234975581,4.285656632,1.82E-05,0.001143627
Epb41l4b_78266,53.75690393,-0.995299054,0.232241735,-4.285616675,1.82E-05,0.001143627
Gm20458_80660,108.2548482,0.781926051,0.182382364,4.287289817,1.81E-05,0.001143627
Socs6_74848,110.7569722,-0.76361997,0.178228513,-4.284499467,1.83E-05,0.001143627
Zdhhc21_64753,158.4821938,-0.906823825,0.211653992,-4.284463601,1.83E-05,0.001143627
Rala_76479,706.7901376,-0.561175151,0.131414664,-4.270262797,1.95E-05,0.001210226
Zfp652_72159,1083.721923,-0.460562112,0.107852748,-4.270286287,1.95E-05,0.001210226
Zeb1_66163,62.09798728,-1.648002297,0.386029237,-4.269112645,1.96E-05,0.001212154
Nfkbib_70947,73.99953651,0.964065207,0.225981745,4.266119847,1.99E-05,0.001224164
Man1b1_64921,708.0496569,-0.390868706,0.091657934,-4.264428503,2.00E-05,0.001229115
Zfp93_72501,58.93677341,-1.278367303,0.300012523,-4.261046469,2.03E-05,0.001243471
Rpn2_78026,1337.876634,-0.472514344,0.110927847,-4.259654878,2.05E-05,0.001246848
Zbtb20_72018,313.7088628,0.579996095,0.136229574,4.25749034,2.07E-05,0.001254575
B4galt4_78044,75.89467717,-0.883317016,0.20768333,-4.253191695,2.11E-05,0.001268539
Golga4_73736,958.8643219,-0.754120246,0.177302467,-4.25329809,2.11E-05,0.001268539
Rbm3_71234,2640.536165,0.643173445,0.151239593,4.252679014,2.11E-05,0.001268539
Acsl5_60831,242.5958063,-0.977062538,0.229811777,-4.251577323,2.12E-05,0.001270401
Zfp513_68024,264.3214057,0.66674362,0.156945338,4.248253741,2.15E-05,0.00128496
Myd88_81931,956.5156279,0.552329966,0.130054945,4.246897064,2.17E-05,0.001288335
Pgm2_30214,96.5816388,-1.257266332,0.296230419,-4.244217512,2.19E-05,0.001299375
Tubgcp5_63771,338.250319,-0.585909299,0.138200722,-4.239553099,2.24E-05,0.001322157
Pdcd6ip_58093,519.6316268,0.422652204,0.09972785,4.238055928,2.25E-05,0.00132649
Tab3_67399,40.75819138,-0.922201665,0.217840526,-4.233379722,2.30E-05,0.001349812
Marf1_60424,593.7404474,-0.484997952,0.114615196,-4.231532714,2.32E-05,0.001356364
Sf3a2_58153,351.124895,0.668193729,0.157953359,4.230323009,2.33E-05,0.001359103
Gtf2a1_81875,159.5054441,-0.845214027,0.200006077,-4.225941734,2.38E-05,0.001368558
Msl1_80470,407.7411176,-0.6089666,0.144085612,-4.226422005,2.37E-05,0.001368558
Rb1cc1_65517,288.2092592,-1.039482975,0.245987104,-4.225762082,2.38E-05,0.001368558
Slc7a11_30093,16.6662913,2.546728247,0.602360996,4.227910283,2.36E-05,0.001368558
Ppig_79520,79.06444338,-1.132975077,0.268208868,-4.22422676,2.40E-05,0.001372243
Zbtb41_56571,382.65043,-0.671844979,0.15906664,-4.223669888,2.40E-05,0.001372243
