gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Stxbp4_69034,477.586511,-0.444605114,0.126006656,-3.528425618,0.000418039,0.018991106
Alg11_67845,36.46811653,-1.106532341,0.31380036,-3.526230313,0.00042152,0.019062412
Trmt44_69387,76.73725241,-0.642561944,0.182240392,-3.525902986,0.000422042,0.019062412
Esco1_77722,362.3526693,-0.980707784,0.278736543,-3.518404064,0.000434151,0.019496977
Morc3_56956,1147.368652,-0.677886879,0.192634913,-3.51902399,0.000433138,0.019496977
Fdx1_68016,1730.509252,-0.953611563,0.271133688,-3.517126804,0.000436245,0.019535066
Aspscr1_74134,1637.069321,-0.579974581,0.164967555,-3.515688773,0.000438615,0.019572958
Fzd5_54141,45.24196599,0.848946618,0.241514247,3.515099539,0.000439589,0.019572958
Pcca_73735,468.6905042,-0.564236526,0.160600103,-3.513301141,0.000442576,0.019650104
Luc7l_67428,181.853472,-0.537711485,0.153171508,-3.510518968,0.000447233,0.019745018
Wwox_75516,342.383075,-0.461746134,0.131519858,-3.510847252,0.000446681,0.019745018
Eif4a2_63353,2595.802258,-0.586842288,0.167264483,-3.508469213,0.000450693,0.019841903
Srek1_71409,1325.527889,-0.465930229,0.132890984,-3.506108642,0.00045471,0.019962642
Lime1_66375,134.1112947,-0.601063085,0.171497168,-3.504798892,0.000456952,0.020005066
Gmnc_61319,52.66584559,-1.318690265,0.376470039,-3.502776127,0.000460436,0.020057144
Paip2_67989,1320.684495,-0.880407796,0.251356723,-3.50262283,0.000460701,0.020057144
Acaa2_59487,5147.568936,-0.540883381,0.154485047,-3.501202177,0.000463164,0.020108517
Atad5_73477,39.87600038,-0.913617892,0.261237232,-3.497272899,0.000470041,0.020350686
Nckap1_57651,693.5310477,-0.847942045,0.242595486,-3.495291938,0.000473543,0.02044586
Angptl2_72005,136.5670634,0.728464029,0.20858686,3.492377371,0.000478741,0.020613498
Itfg1_30888,854.9498192,-0.53195846,0.152397654,-3.490594802,0.000481947,0.020680524
Luc7l3_64342,1636.188369,-0.505004468,0.144728745,-3.48931699,0.000484257,0.020680524
Nck1_72632,1141.357573,-0.512829463,0.14694521,-3.489936581,0.000483135,0.020680524
Atf3_72119,96.25398327,1.023693859,0.293848952,3.483741734,0.000494456,0.020728613
Ehbp1_67186,148.6421187,-0.712284531,0.204331728,-3.485922318,0.000490443,0.020728613
Far1_65528,340.9252599,-0.632166552,0.181340033,-3.486083815,0.000490147,0.020728613
Il10rb_58064,629.2745906,0.432725719,0.12421647,3.483642059,0.000494641,0.020728613
Ralgds_69005,101.8132961,0.719707447,0.206575195,3.483997429,0.000493984,0.020728613
Sult1d1_55051,60.57069203,-1.44045444,0.413084937,-3.487066006,0.000488351,0.020728613
Wscd1_68153,146.1520127,1.132154651,0.324985495,3.483708248,0.000494518,0.020728613
Gfm2_74038,387.3429239,-0.596588553,0.171435009,-3.479969203,0.000501471,0.020847644
Stab1_66179,348.3365172,0.840253887,0.241363732,3.481276491,0.00049903,0.020847644
Utp11_70092,79.7676229,-0.926359669,0.266189102,-3.48008112,0.000501262,0.020847644
Ccnl1_71877,581.171799,-0.494273101,0.142146209,-3.477216211,0.000506649,0.021007172
Gm13306_31243,64.15764544,-0.896106942,0.257864068,-3.47511365,0.000510637,0.021116657
Gopc_80084,374.7481211,0.472451452,0.136034603,3.473024078,0.000514629,0.021120562
Recql_71042,103.6403036,-0.663866951,0.191153699,-3.472948505,0.000514774,0.021120562
Sos1_60237,257.4184075,-0.668273867,0.192387123,-3.473589384,0.000513546,0.021120562
Gnai2_30647,431.1986726,0.78742027,0.226957345,3.469463705,0.000521499,0.021173558
Lamb1_68960,165.2147656,0.719029934,0.207166484,3.470783115,0.000518943,0.021173558
Mrpl1_55313,1080.47765,-0.722660618,0.208332581,-3.468783498,0.000522821,0.021173558
Pqbp1_69857,40.87716475,0.981492358,0.282853726,3.469964394,0.000520527,0.021173558
Tgfb2_60154,186.0733538,0.732940823,0.21128454,3.468975171,0.000522448,0.021173558
Ptprf_80194,849.3866524,0.50766896,0.146401567,3.467647035,0.000525036,0.021208494
Hsd17b12_31020,594.6179564,-0.60561952,0.174741889,-3.465794749,0.000528667,0.021245624
Rab6a_68205,554.0981967,-0.528626931,0.152500816,-3.46638756,0.000527502,0.021245624
4833420G17Rik_68308,492.5562681,-0.58875924,0.170142041,-3.460398364,0.000539377,0.021254732
Col4a2_63373,269.9617785,1.138165783,0.328929123,3.4602159,0.000539742,0.021254732
Ercc5_73312,126.7611786,-0.674521478,0.194711312,-3.464213107,0.000531785,0.021254732
Eri1_62265,265.7578585,-0.682336585,0.197087962,-3.462091627,0.000535995,0.021254732
Pex10_78254,20.14800731,-0.990470632,0.28606441,-3.462404265,0.000535372,0.021254732
