gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Naca_78337,2027.093868,-0.80967793,0.265111609,-3.054102128,0.002257352,0.079517622
Pip4p1_78751,64.7649345,-0.746879488,0.244642483,-3.052942717,0.002266092,0.079517622
Tfdp1_64767,498.7857394,-0.45672718,0.149646814,-3.052034112,0.002272963,0.079517622
Zfp111_74532,58.70427783,-0.745560217,0.244232998,-3.052659647,0.00226823,0.079517622
Zfp68_77853,631.6259338,-0.657833011,0.215619825,-3.050892985,0.002281619,0.079517622
Zfp710_71480,803.5406175,-0.490977113,0.160907828,-3.051294144,0.002278572,0.079517622
Ascc2_58699,230.3334103,0.716004097,0.234815269,3.049222907,0.002294342,0.079800793
Kcnj2_59887,193.4714805,0.641785706,0.210608039,3.047299187,0.002309078,0.0801527
Ifit3_29860,69.82005878,-2.195295385,0.720737845,-3.045899978,0.00231985,0.080205808
Pigyl_61257,181.0901675,-0.661279349,0.217081639,-3.046224229,0.002317349,0.080205808
Rnf20_63150,997.1232209,0.340615354,0.111916678,3.043472684,0.002338647,0.080694935
Kdm2b_79212,40.44335435,0.780797847,0.256606879,3.042778318,0.002344049,0.080720877
0610012G03Rik_58446,603.8301423,-0.488737671,0.160668739,-3.041896474,0.002350927,0.080727326
Pde1a_65878,42.67325353,1.024306568,0.336769889,3.041562212,0.002353539,0.080727326
Trim16_61852,284.1876164,0.693265062,0.228082591,3.039535195,0.002369435,0.080793549
Trip4_65140,164.4464739,-0.508922559,0.16743425,-3.039536773,0.002369423,0.080793549
U2surp_79565,1754.866162,-0.487544605,0.160364746,-3.040223102,0.00236403,0.080793549
Gchfr_54060,89.53859552,0.625132828,0.205947641,3.035396887,0.002402193,0.080991259
Kars_70928,159.3147138,0.432368589,0.142401505,3.03626418,0.002395294,0.080991259
Morc4_64388,119.6952607,-0.499415445,0.164529944,-3.035407611,0.002402108,0.080991259
Nek9_60715,19.90920278,0.989913321,0.3261372,3.03526651,0.002403232,0.080991259
Pik3r3_29609,274.9770135,0.466007332,0.153474298,3.036386793,0.00239432,0.080991259
Spry2_56791,64.50449386,0.701427836,0.231058864,3.035710571,0.002399696,0.080991259
Aldoa_65660,492.7960463,0.60968502,0.201120616,3.031439695,0.002433905,0.08186601
Actl6a_65364,67.01386281,0.638717979,0.21101193,3.02692828,0.002470526,0.082142612
Atp5d_79142,564.5013083,0.498637169,0.1647203,3.027174961,0.00246851,0.082142612
Cenpu_72392,51.84987384,-0.856123732,0.282565201,-3.029827202,0.002446937,0.082142612
Kdm6a_65647,36.00482641,-2.476337756,0.818058524,-3.027091194,0.002469195,0.082142612
Syce2_75594,19.74997101,-1.429940772,0.472134506,-3.02867245,0.002456308,0.082142612
Zfp52_62706,87.79150334,-1.607427696,0.530989908,-3.027228339,0.002468074,0.082142612
Zfp609_57003,617.5640041,-0.353060819,0.116733301,-3.024508151,0.002490378,0.082644348
Coro2b_69259,225.1579738,-0.654839593,0.216990665,-3.017823802,0.002545969,0.08386436
Myo9b_57732,19.05033263,1.015831116,0.336615285,3.017780716,0.002546331,0.08386436
Psmd6_65109,2049.788742,-0.530866158,0.175929705,-3.017490188,0.002548773,0.08386436
Slco3a1_63917,126.0971078,0.647724159,0.214717541,3.016633649,0.002555985,0.08386436
