gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hsd17b12_31020,594.6179564,-0.664973787,0.175579699,-3.787304527,0.00015229,0.004991196
Tceal1_32191,184.5562331,-0.936148204,0.247193984,-3.787099456,0.000152416,0.004991196
Klhdc2_30951,173.0403483,-1.337250083,0.353304664,-3.784977161,0.000153723,0.005016874
Zfp513_68024,264.3214057,0.592514437,0.156547452,3.784887139,0.000153778,0.005016874
Ppp2r5a_79150,1970.224677,-0.597131241,0.157879677,-3.782191943,0.000155453,0.005052527
Shtn1_59104,431.2148039,-0.716321643,0.189375069,-3.782555158,0.000155227,0.005052527
Aplp2_62173,1919.11344,-0.453495546,0.120009975,-3.778815447,0.000157576,0.005111947
Chpf2_56605,61.15686777,0.882304031,0.2335496,3.777801503,0.000158219,0.005123223
Cklf_66245,61.79547717,-1.14074941,0.302208705,-3.774707316,0.000160196,0.005176091
Htra1_71655,435.0843919,-0.841713822,0.22301103,-3.774314752,0.000160448,0.005176091
Hbp1_60816,206.8991388,-0.996612276,0.264115455,-3.773396276,0.00016104,0.005185554
Abi1_57770,1998.219365,-0.541846609,0.143667542,-3.771531134,0.000162249,0.0052148
