gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gpat3_72962,272.9245497,-0.720909992,0.194950595,-3.697911218,0.000217381,0.008538874
Myh10_78907,468.0198653,-0.865642732,0.233970032,-3.699801748,0.000215768,0.008538874
Phf23_80408,352.2777631,0.468383461,0.126630243,3.698827777,0.000216598,0.008538874
Rab11a_31941,172.6871908,-0.703361085,0.19015404,-3.698901609,0.000216535,0.008538874
Topors_73469,472.368767,-0.524619467,0.141851243,-3.698377653,0.000216982,0.008538874
Thoc2_80770,66.31677897,-1.156340486,0.312902523,-3.695529437,0.000219429,0.008597779
Creb1_64373,288.8072748,-0.458162961,0.124055054,-3.693222854,0.00022143,0.00859978
Myrf_65894,55.47283757,-1.452788336,0.393302981,-3.693814711,0.000220915,0.00859978
Sox18_57040,323.0316528,0.916496618,0.248175225,3.692941622,0.000221675,0.00859978
Vps37a_56960,869.4411759,-0.677716448,0.183503411,-3.693208996,0.000221442,0.00859978
Mcrip1_63863,602.8603019,0.57836205,0.15674493,3.689829388,0.000224405,0.008662788
Zmym5_63442,1140.903861,-0.731407371,0.198212968,-3.690007656,0.000224247,0.008662788
AA415038_29464,147.3577997,-0.692478919,0.18795515,-3.684277442,0.000229352,0.00874608
Ager_77468,4050.168972,0.696183381,0.188915049,3.685166356,0.000228553,0.00874608
Atg5_56773,529.5605943,-0.726963797,0.19722242,-3.686009922,0.000227797,0.00874608
C1galt1c1_55227,537.4237658,-0.866421213,0.235142165,-3.684669708,0.000228999,0.00874608
Ctnnal1_29533,421.1641211,-0.775899962,0.210549866,-3.685112595,0.000228602,0.00874608
Map2k3_65034,613.0607363,0.533696089,0.145000694,3.680645072,0.000232645,0.008837022
Rnase4_54446,1460.680621,-0.984484307,0.26749355,-3.680403917,0.000232865,0.008837022
Mlh3_67740,229.4676788,-0.71201716,0.193611672,-3.677552867,0.000235482,0.008914768
Asf1a_57109,101.1185186,-0.823656939,0.224081413,-3.675703965,0.000237194,0.008914985
Eif4g2_78257,157.9947552,-0.737804239,0.200661119,-3.676866962,0.000236116,0.008914985
Snrnp40_30773,647.9812055,-0.41125783,0.111879614,-3.675896048,0.000237016,0.008914985
Kansl1_62103,540.7142462,-0.446628932,0.121541957,-3.674689343,0.000238139,0.008929073
Sypl_69223,1188.429034,-0.591730243,0.161192013,-3.670965035,0.000241636,0.009038585
Neo1_68359,443.8014088,-0.659796465,0.179764315,-3.670341716,0.000242226,0.009039083
Wscd1_72093,84.24744393,1.174577193,0.320129385,3.669070227,0.000243434,0.009062576
