Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
FA 20:1,496359,401661,369836,467995,504921,319024,260721,386194,367811,404834,330785,316643,395271,419338,223832,325078,387946,534182,424901,322911,270464,295908,295455,294594,279641,319388,492752,283887,416653,278993,304803,352574,293409,197977,296224,255662,247216,443274,389798,404928,283320,280084,436898,346462
FA 20:0,244923,203709,204291,150833,208663,134246,196352,367791,161229,199862,246804,153537,194168,254346,191037,300851,287106,335085,245675,168339,201683,147887,221021,216421,253757,224151,308383,166271,202255,233619,314960,257320,143853,256327,217592,214580,251846,295951,436353,411938,377039,492843,435985,413755
FA 22:6,2298586,2883598,1370295,2633203,2283736,1453668,1735595,2300547,1919191,2477896,1869610,1772037,1425213,1837618,904543,1743212,1643074,2944245,1629673,1666067,1253518,1462975,1167179,1197063,1420158,1448498,2208418,1969478,1784663,1189700,1163343,1294544,1402263,1237570,1426926,1454669,1740107,1623661,2084613,2216947,1327748,1274825,1650566,1443953
FA 22:5,1045338,1225705,799465,1342814,927882,877395,821991,1187359,859921,1168860,875094,962305,719337,896524,465148,876540,904200,1291726,803693,815460,561169,805398,598061,580738,699256,833325,989526,859522,849289,566910,543871,601813,580074,676771,687458,687910,909243,885765,1042647,1092430,651117,625026,895497,707457
FA 22:4,708612,916086,502759,1134985,659635,531897,467036,792603,479325,724186,457558,723791,433728,661980,309044,551988,673831,936847,498683,547230,422797,610694,436498,331613,522808,581608,739468,485954,609347,348513,479285,425968,363322,426178,458929,438226,618719,539545,834654,587469,493123,450953,663501,555549
FA 22:3a,7681,13711,6422,27744,18050,5714,12420,11925,2324,21014,4569,11472,8698,13082,1540,5303,13365,22655,8700,9575,1969,10008,5684,928,2010,11942,11381,5439,7109,5551,6637,5495,7674,1805,9958,5427,4396,10422,22629,13477,4094,6077,7668,10492
FA 22:3b,19866,16175,13659,37999,16489,14396,7657,16171,6599,10352,14818,19648,10771,16077,3017,13444,9980,25446,10336,24764,3146,15993,13448,1098,6837,9248,14303,9006,11132,1562,5550,8002,5720,3667,7196,6933,10719,5231,17282,17771,10690,3560,15579,8393
FA 22:2,62818,70283,27664,76676,47802,31145,47114,66283,33057,50542,40187,49193,34837,52085,12679,42529,50270,58690,22854,31406,26037,36035,33490,22018,25266,29022,44444,26107,33619,22765,21929,29492,20363,21075,26449,36195,36199,45389,58748,57160,29959,30598,51415,36926
FA 22:1,180912,150257,104340,150257,152658,112168,125225,150551,110907,138425,117595,119975,120728,161563,69190,144187,146996,197747,110974,81889,103241,120810,88953,98259,96107,100495,156772,103546,114912,91830,84946,91071,94546,65399,94371,93017,96353,121896,158899,148417,107027,89295,149489,108588
FA 22:0,108797,95635,83911,83190,79754,65086,102257,139104,77259,89324,100323,73653,74925,100750,67280,152307,109704,109491,81972,74934,86717,59852,95325,70627,87544,72008,109665,80656,64463,76389,77330,66990,53990,90319,68497,77968,87226,80001,134153,121424,109718,127457,149054,111123
