Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
LPC(20:0_0:0),72160,102082,88736,68707,102425,94733,94411,139696,95674,135032,87807,103135,114065,118533,62550,113837,98314,247257,131556,110204,139953,121076,90498,158146,153294,124111,178570,118593,115649,135781,128969,129551,122926,119172,143371,99759,85857,124883,187375,161057,96665,123077,182602,114242
LPC(0:0/20:2),60915,91308,40413,99406,53222,24806,56998,67342,53344,74858,70637,59318,74670,85254,26487,42480,55770,61329,51723,49328,54836,74286,45818,50017,58325,49604,82155,56319,100435,49549,62226,48925,53143,39000,48563,38582,46994,59955,97156,64315,39434,46866,57880,61466
LPC(20:2/0:0),35740,66216,45537,53584,41446,33309,45542,44966,51196,71375,39952,50849,50763,58944,11559,59400,56125,127579,64109,48861,72455,77872,53290,65088,57143,61910,75766,81402,89023,44036,56472,46862,39820,54784,72705,52543,47906,56840,102936,72609,54682,49538,88433,77870
LPC(20:3_0:0),283933,473700,235345,453606,242437,116355,398037,278490,255143,407476,434647,326762,348120,451822,117036,196148,356921,641570,453134,287329,306415,491202,294946,235291,364462,486555,349530,305016,453570,226233,313659,282804,262500,217404,285711,296933,266563,313043,825409,405765,226142,334851,348300,396177
LPC(20:5_0:0),42527,54806,33003,57497,35561,5470,24371,17918,49540,42055,73675,26597,32231,49010,2255,30010,61544,117099,50901,52547,70751,42199,40339,25779,22606,60957,45144,82230,90939,18944,7804,40112,11929,21320,27868,52363,59198,36578,87693,66420,14787,30396,49213,37583
LPC(22:5_0:0),166702,294106,167881,254383,127487,82818,203958,182826,177498,272619,249101,159955,219420,234129,43501,137074,207872,307504,185575,135607,135020,212167,102979,142111,174122,219429,223177,185699,301090,137809,138015,152286,86584,139913,144277,145838,178058,217617,227447,232935,118968,165323,206352,148356
LPC(22:6/0:0),172652,209195,83554,205722,181696,79237,97096,158419,173828,173520,164033,131020,134763,193787,37555,134481,150225,409915,138990,139205,159814,207497,80980,132722,143021,151952,183507,157748,184617,110201,184438,152286,113510,73647,205963,152636,160173,194547,224666,175454,107010,109853,201294,180981
LPE(22:6_0:0),197440,370329,165014,246207,211084,120359,606215,279562,275502,326239,252024,189114,197055,220730,95051,160178,181565,284482,239450,185280,155321,179328,152392,163077,145492,172079,235867,221841,236853,171544,136238,187388,183822,185658,130348,146472,198178,191134,223622,215209,129992,89305,224798,128470
PC(14:0_18:1);PC(16:0_16:1),44226756,46082640,45381576,45136388,43087456,44416688,44020056,43805312,41683972,42905032,47046956,46410524,44966984,44816792,44139508,43865472,43587632,43756768,46666164,47576212,44496676,45046320,44540224,43694468,43683060,44618996,47297540,43988876,46589220,42274088,44610788,45408584,44051844,43500780,43708692,42622196,43602772,43563760,47487748,45059472,44564720,43904468,43684316,44744788
PC(14:0_18:2),5277271,9311581,5706948,6571180,6302385,7661356,7420263,9505155,7649606,7745313,6728014,7977594,6543424,8901650,5345042,7145888,6620447,8543983,6219865,7884637,6670142,8083335,6552572,6327018,8251566,7374700,10897014,5774648,6500084,8333923,8232368,8375149,6988244,7293435,6874136,5555516,6680309,8338258,7263947,7834575,6934706,8045255,7861075,9188858
PC(16:0_18:3),863946,1259095,1262474,1471364,920673,1031559,1686684,1155824,1063251,1202255,1415518,1976403,1222741,1500504,1212414,853484,1438416,1506181,1294469,1660058,1541081,1449104,1462278,1003162,1292642,1105811,1375479,997072,1441455,963455,1225848,1519032,1346403,921295,1158021,928314,1004508,1261090,1598490,1123937,1369982,1188369,1246306,1496858
PC(16:1_20:4),2193817,3201334,2092125,2671008,2162997,2736446,2430442,2988344,2415011,2345173,2431552,2853047,2301174,3344071,1792293,2158423,3054237,3827881,2303956,2627550,2457378,3576787,2775776,2105244,2698752,2370794,3110653,2632088,2893473,2039817,2566880,3259215,1889335,2369881,2743880,2270662,2308357,3022787,3412316,3134535,3014924,2631006,2819653,2910810
PC(17:0_18:2)a,366623,375974,361133,423521,517826,397542,368607,429386,365823,442772,374783,401624,341721,525859,368251,422925,481613,395781,433027,385229,497718,590956,410584,492720,463373,426194,452750,388976,453061,459524,454238,374911,428120,372642,474533,505591,521947,565333,553278,401546,455548,509897,485166,442791
PC(17:0_18:2)b,517200,613994,575445,497871,654415,475885,727521,706522,533840,498649,522074,696481,420350,693742,444416,585123,497076,495810,482171,518316,726811,646914,562250,501721,585808,610374,617028,538317,567650,698216,598050,572026,619377,515078,611121,557938,753205,790978,616972,485642,564098,679905,738893,669254
PC(17:0_20:4),783283,789421,702314,759341,979939,864044,789896,920536,777872,762409,674717,727620,676746,877370,648990,845160,724362,872663,645065,564827,1003750,845883,847862,710214,940807,846180,790142,858993,769918,770594,777601,805722,598220,765953,682396,792130,866002,953606,802062,793433,876816,897697,839679,804185
PC(17:0_22:5),61968,84543,60547,69448,84361,95038,78894,99421,75249,95735,53177,58700,60562,75362,61273,93534,62345,78165,77730,43080,75826,106643,72220,64236,99814,82563,62847,83798,65856,70600,85457,62758,46856,77961,67307,80494,91594,105566,92255,82045,78767,89077,123190,66382
PC(18:0_18:2);PC(18:1/18:1),17560026,21151056,19522508,20075026,21192382,16945884,22124174,21423628,20577436,19329778,19197118,20202506,18341368,21152136,17964594,18555380,19671106,19844242,19383606,19106928,19465838,19153772,19454270,19281410,19471994,19035472,19924052,18493166,20092414,20069752,19765716,19207584,21659110,19949514,19368518,21337200,21863912,22202542,20283048,18827442,17672304,18450402,21093744,19640784
PC(18:0_20:1),1720876,2308026,1736962,2475093,2296031,1873747,1785400,3293493,2093824,1913432,1807673,2333184,2168374,2811922,1540865,2239229,2256482,2897177,1777944,2367685,1992076,2531985,2306023,2448698,2668073,2115394,2956354,1639545,2374236,2168523,2837131,2561040,2071309,2100962,2693257,1974125,2095322,2589297,2817538,2138947,1845292,2239005,3408245,2570475
PC(38:2),688983,628800,705580,741460,523272,670975,634459,720072,551876,735337,610374,663259,691191,768711,623918,713424,731746,840060,670962,826777,629320,796443,825447,913993,765811,655464,763650,665197,919027,706361,851836,766034,842379,645397,792239,673341,598224,801054,883970,661804,643855,734052,879364,679073
PC(18:0_22:5),1243509,1364609,1268420,1228555,1170922,1453899,1100080,1405066,1425992,1186430,1059514,1118248,1142335,1281777,1270449,1356227,1181949,1440476,1414602,1366926,1093973,1386972,1400849,1209171,1472686,1222063,1354695,1353790,1266311,1503463,1353054,1212682,1153316,1441720,1092980,1307902,1235414,1227484,1158930,1236664,1245441,1471588,1582198,1264648
PC(18:1_18:2),1728301,1843830,1740631,1817091,1886824,1840519,1992446,1864792,1827339,1924550,1778557,1631640,1471244,2056329,1608957,1780710,2486565,1849764,1890181,1696113,1655809,1944749,2053545,1861422,2050620,1623027,1844134,1759601,2066190,1781655,1873114,1782636,1717196,1902657,2321391,2361676,2104677,2249568,2108346,1891256,2430963,1508537,2147165,1912410
PC(18:1_20:4),5107472,5039078,5329484,4770985,4724012,5429512,4766039,5498816,5733977,6168334,4167828,4595740,5070500,4857928,4835139,5501495,5415688,5336980,5494101,4773353,4482921,5268846,4759536,5460705,4953671,5190088,4858118,5577184,4878926,5348871,5163787,4369998,4631578,5695552,5161565,5660244,5521218,5771056,5184889,5446825,4715431,5221972,6187283,4634101
PC(18:2_18:3),46091,64085,49168,46711,27829,37072,74748,69837,61592,65863,48910,80360,51982,62549,37193,57948,59649,119361,47911,48204,62174,64121,47634,49341,75839,53000,82692,39849,69751,56424,49989,80389,57358,52857,48154,52593,63530,101732,83420,61534,56754,64536,68586,79854
PC(40:8),2732490,4218361,2270469,3341860,3299934,2460587,3049366,4809739,3747572,3278572,2868276,2698983,2828835,3666109,1779696,3302988,3101966,5787230,2925290,2790856,2718554,3347332,2375040,2896662,3581385,2993007,3881582,2823888,3430966,3431628,3509107,3171608,2685753,2938529,3780164,3510569,3897007,3904789,3542899,3976480,2801832,3334926,3713973,3143484
PC(28:0),1250127,3171596,1892930,2346472,2077304,1779616,2270496,2493324,2258316,2279789,2501430,2698945,2766003,2109230,1968160,2394537,2475691,3448688,1854877,3283868,2886402,2892076,2518887,2281342,2464542,1662891,3129994,2398627,2662103,2229242,2739308,3284116,2016841,1788640,2039883,1486460,2172858,2163355,2652404,2993415,2189162,2339014,2266869,2462349
PC(30:1),3470443,7293079,4685928,5010271,3970380,5408999,4926044,6466936,5744146,5671434,6353235,6087776,6746396,5796550,5121452,4669157,6159329,8978045,5321654,7216393,5807685,7755736,6080322,5365567,6175004,4975908,7855270,5275373,6585663,5528560,6130601,7798843,5143739,5460079,5978496,4104222,4709768,5584221,8234880,7481905,6003653,5995420,5276693,6452554
PC(38:7)a,397453,645905,431635,453732,465297,522156,458259,722972,592853,473422,563333,487330,465753,588626,440516,482204,651207,1059897,530997,534278,634295,603263,441346,478931,509019,472441,619490,538953,625966,502101,528351,528493,505260,566128,682794,652406,639984,938605,573160,779563,471648,568543,641759,486230
PC(38:7)b,1497994,2467538,1245584,1668855,1337242,1921936,1528621,2310867,1857722,1921294,1578377,1604456,1473444,1998849,1280710,1530074,1692576,3022731,1524307,1783124,1356495,2214714,1457000,1507544,1630285,1525726,2313726,1778862,1878292,1668476,1783210,2016257,1464726,1644808,2022903,1637808,1836465,1785664,2384576,2540783,1874983,1846492,1774357,1926269
PC(38:7)c,56308,63720,64191,54573,66635,38826,166937,53393,59624,76333,49786,57031,27347,71661,32312,46237,97026,28531,55883,41258,61971,39417,66138,34046,30933,53333,36506,51097,51272,43846,44057,42361,55631,43052,48741,71156,71801,58569,70329,48304,99777,55506,94731,66648
